日期,总展现量,总点击量,总消费额,上方位展现量,上方首位展现量,CTR,CPC,上方位展现率,首位展现率,新注册数
2025-01-01,2761,359,937.450000,956,940,0.130025,2.611281,0.346251,0.340456,102
2025-01-02,13316,1201,3330.770000,5237,5193,0.090192,2.773331,0.393286,0.389982,284
2025-01-03,10051,1207,3252.700000,3939,3899,0.120088,2.694863,0.391901,0.387922,289
2025-01-04,8526,1088,2895.550000,2920,2878,0.127610,2.661351,0.342482,0.337556,299
2025-01-05,7546,1089,2868.900000,2313,2270,0.144315,2.634435,0.306520,0.300822,298
2025-01-06,3515,347,711.630000,184,170,0.098720,2.050807,0.052347,0.048364,109
2025-01-07,3035,300,596.820000,138,116,0.098847,1.989400,0.045470,0.038221,116
2025-01-08,7772,1095,2860.900000,2017,1982,0.140890,2.612694,0.259521,0.255018,267
2025-01-09,10152,1186,3174.320000,2991,2942,0.116824,2.676492,0.294622,0.289795,285
2025-01-10,16584,1765,4556.950000,5378,5261,0.106428,2.581841,0.324288,0.317233,279
2025-01-11,20840,1878,4993.380000,6524,6396,0.090115,2.658882,0.313052,0.306910,236
2025-01-12,19978,1880,4799.780000,6366,6241,0.094104,2.553074,0.318651,0.312394,260
2025-01-13,8611,423,839.020000,404,374,0.049123,1.983499,0.046917,0.043433,64
2025-01-14,8403,402,788.710000,449,426,0.047840,1.961965,0.053433,0.050696,57
2025-01-15,25764,2419,6368.610000,8844,8679,0.093891,2.632745,0.343270,0.336865,262
2025-01-16,30219,2854,7534.400000,11526,11297,0.094444,2.639944,0.381416,0.373838,241
2025-01-17,32595,2670,7197.690000,13897,13661,0.081914,2.695764,0.426354,0.419113,292
2025-01-18,15427,1689,4692.900000,5957,5786,0.109483,2.778508,0.386141,0.375057,353
2025-01-19,22795,1744,4978.520000,10595,10395,0.076508,2.854656,0.464795,0.456021,360
2025-01-20,14042,1170,2492.930000,1015,931,0.083321,2.130709,0.072283,0.066301,345
2025-01-21,9566,568,1183.020000,683,636,0.059377,2.082782,0.071399,0.066485,375
2025-01-22,17997,1498,4317.640000,8222,8017,0.083236,2.882270,0.456854,0.445463,308
2025-01-23,18498,2100,5633.330000,6930,6693,0.113526,2.682538,0.374635,0.361823,314
2025-01-24,24731,1988,5363.980000,10161,9957,0.080385,2.698179,0.410861,0.402612,308
2025-01-25,25415,2321,6020.490000,8130,7993,0.091324,2.593921,0.319890,0.314499,325
2025-01-26,24450,2256,6023.300000,9014,8861,0.092270,2.669902,0.368671,0.362413,335
2025-01-27,11929,1195,2505.410000,994,920,0.100176,2.096577,0.083326,0.077123,187
2025-01-28,6494,650,1640.000000,1830,1785,0.100092,2.523077,0.281799,0.274869,77
2025-01-29,2664,247,638.080000,1096,1081,0.092718,2.583320,0.411411,0.405781,40
2025-01-30,1769,244,608.570000,479,468,0.137931,2.494139,0.270774,0.264556,42
2025-01-31,2426,274,721.310000,805,782,0.112943,2.632518,0.331822,0.322341,40
2025-02-01,2923,313,803.040000,1003,975,0.107082,2.565623,0.343141,0.333561,43
2025-02-02,3952,479,1155.040000,1595,1566,0.121204,2.411357,0.403593,0.396255,56
2025-02-03,4305,586,1403.280000,1558,1523,0.136121,2.394676,0.361905,0.353775,72
2025-02-04,5816,739,1806.390000,2427,2374,0.127063,2.444371,0.417297,0.408184,92
2025-02-05,7261,834,2007.820000,2547,2487,0.114860,2.407458,0.350778,0.342515,125
2025-02-06,6741,785,2043.970000,2544,2494,0.116452,2.603783,0.377392,0.369975,110
2025-02-07,10649,998,2523.340000,3282,3224,0.093718,2.528397,0.308198,0.302751,112
2025-02-08,10912,921,1938.270000,994,946,0.084402,2.104528,0.091092,0.086694,121
2025-02-09,25806,2261,6023.950000,10236,10043,0.087615,2.664286,0.396652,0.389173,285
2025-02-10,23718,2308,6045.350000,8805,8600,0.097310,2.619302,0.371237,0.362594,329
2025-02-11,23983,2322,6026.830000,8244,8085,0.096819,2.595534,0.343743,0.337114,322
2025-02-12,23313,2133,5596.500000,8454,8238,0.091494,2.623769,0.362630,0.353365,293
2025-02-13,19950,1880,4784.770000,6136,5983,0.094236,2.545090,0.307569,0.299900,257
2025-02-14,10320,1048,2291.690000,1896,1818,0.101550,2.186727,0.183721,0.176163,164
2025-02-15,17921,1699,4297.860000,5886,5765,0.094805,2.529641,0.328441,0.321690,219
2025-02-16,17025,1642,4163.560000,5831,5733,0.096446,2.535664,0.342496,0.336740,217
2025-02-17,13811,1337,3486.360000,4353,4263,0.096807,2.607599,0.315184,0.308667,185
2025-02-18,20547,1912,4774.400000,5782,5609,0.093055,2.497071,0.281404,0.272984,232
2025-02-19,24958,2365,6011.500000,8521,8342,0.094759,2.541860,0.341414,0.334242,285
2025-02-20,27758,2708,7039.790000,10669,10450,0.097557,2.599627,0.384358,0.376468,328
2025-02-21,37022,3781,9725.850000,14686,14430,0.102128,2.572296,0.396683,0.389768,347
2025-02-22,52726,5919,11883.540000,16806,16432,0.112260,2.007694,0.318742,0.311649,423
2025-02-23,24063,2791,5409.820000,8114,7812,0.115987,1.938309,0.337198,0.324648,654
2025-02-24,15798,2082,4136.360000,4620,4432,0.131789,1.986724,0.292442,0.280542,325
2025-02-25,31163,4847,9347.930000,8834,8604,0.155537,1.928601,0.283477,0.276097,434
2025-02-26,55080,5604,11830.610000,20541,19922,0.101743,2.111101,0.372930,0.361692,765
2025-02-27,52985,5149,10743.590000,19495,18826,0.097178,2.086539,0.367934,0.355308,743
2025-02-28,67483,5052,11046.390000,26486,25921,0.074863,2.186538,0.392484,0.384112,847
2025-03-01,51554,5710,11748.530000,18506,18019,0.110758,2.057536,0.358963,0.349517,718
2025-03-02,29252,3966,7925.840000,7921,7560,0.135580,1.998447,0.270785,0.258444,627
2025-03-03,23632,3128,6201.390000,9053,8771,0.132363,1.982542,0.383082,0.371149,634
2025-03-04,39174,4063,8578.150000,17247,16886,0.103717,2.111285,0.440267,0.431051,669
2025-03-05,48108,4218,8898.190000,15322,14729,0.087678,2.109576,0.318492,0.306165,793
2025-03-06,53527,4646,9476.790000,17179,16561,0.086797,2.039774,0.320941,0.309395,876
2025-03-07,49919,5517,11087.040000,16273,15748,0.110519,2.009614,0.325988,0.315471,683
2025-03-08,68082,5029,11077.670000,27789,27183,0.073867,2.202758,0.408170,0.399269,480
2025-03-09,35197,2843,5910.830000,12064,11619,0.080774,2.079082,0.342756,0.330113,284
2025-03-10,18148,1940,4137.000000,7558,7259,0.106899,2.132474,0.416465,0.399989,320
2025-03-11,29758,2958,7027.450000,14106,13705,0.099402,2.375744,0.474024,0.460548,556
2025-03-12,58638,3861,8650.550000,20373,19706,0.065845,2.240495,0.347437,0.336062,623
2025-03-13,79377,3422,8223.180000,36292,35484,0.043111,2.403033,0.457211,0.447031,314
2025-03-14,56701,2342,5448.180000,20247,19562,0.041304,2.326294,0.357084,0.345003,464
2025-03-15,57870,3407,7132.080000,17808,17188,0.058873,2.093361,0.307724,0.297011,461
2025-03-16,64671,3413,7194.850000,24971,24331,0.052775,2.108072,0.386124,0.376227,227
2025-03-17,51124,3725,8039.120000,19816,19337,0.072862,2.158153,0.387607,0.378237,269
2025-03-18,36231,2403,6559.960000,10607,7808,0.066324,2.729904,0.292760,0.215506,549
2025-03-19,78823,5850,14977.470000,20186,11800,0.074217,2.560251,0.256093,0.149702,480
2025-03-20,58483,4685,13076.080000,24674,7641,0.080109,2.791052,0.421900,0.130653,255
2025-03-21,42840,5014,10645.300000,17511,14120,0.117040,2.123115,0.408754,0.329599,406
2025-03-22,171082,4370,7048.210000,44547,25567,0.025543,1.612863,0.260384,0.149443,119
2025-03-23,65862,2242,3228.010000,12873,6691,0.034041,1.439790,0.195454,0.101591,46
2025-03-24,143062,3370,4139.450000,26330,11716,0.023556,1.228323,0.184046,0.081895,67
2025-03-25,35431,807,986.590000,3388,900,0.022777,1.222540,0.095622,0.025401,68
