方案ID,推广单元ID,Sheet1记录数,有投放记录天数,消费额,点击量,展现量,预算占比,点击贡献占比,点击贡献预算比,总CTR,总CPC,上方位展现率,首位展现率,zero_effect比例,中位数浏览深度,中位数跳出率,中位数平均访问时长_秒
500635396,9657930100,321,321,808153.3,358634,8769221,0.566747374745,0.429596976576,0.758004352061,0.0408969052097,2.25342075765,0.439898367255,0.116923384643,0.133333333333,2.09677419355,0.5927,193
525368335,9811363528,259,259,181497.49,100380,4780540,0.127281823857,0.120242209352,0.94469269616,0.020997627883,1.8081041044,0.089163148933,0.0717253699373,0.452132701422,1,0.7714,81
495817671,9630806627,309,309,171870.04,107520,4417936,0.120530218669,0.128795002486,1.06857022171,0.0243371565364,1.5984936756,0.177675502769,0.0842305094506,0.364253393665,1,0.8571,98
495403620,8878077181,225,225,124225.65,168752,255414,0.0871178290226,0.202142989764,2.32034007312,0.660699883327,0.736143275339,0.885875480592,0.818909691716,0,10.3315184586,0.08295,661.5
495403620,9628223555,321,321,91605.25,72103,3454523,0.0642415677203,0.0863700340794,1.34445713491,0.020872056721,1.27047765003,0.185312994008,0.0867089320291,0.318681318681,1,0.8718,77
500635396,9700005700,148,148,26939.52,12173,163203,0.0188923342104,0.014581673784,0.771830183691,0.0745880896797,2.21305512199,0.33056990374,0.308707560523,0.352941176471,1,0.7423,39
500635396,9773660250,161,161,6433.94,4206,180446,0.00451203825346,0.00503824200571,1.1166221833,0.0233089123616,1.52970518307,0.285836205846,0.085709852255,0.166666666667,2.45346453465,0.4082,211
63563817,4190988310,172,172,4981.89,3283,125307,0.00349373451642,0.00393260782329,1.12561724562,0.0261996536506,1.51748096253,0.143982379276,0.0332623077721,0.383561643836,1.64864864865,0.8214,94
63563817,1841014603,178,178,4767.6,4023,113857,0.00334345573276,0.00481903176153,1.44133260516,0.0353337959019,1.1850857569,0.190783175387,0.144057897187,0.539473684211,2,0.6901,119
63563817,2874903000,178,178,2847.91,2019,87675,0.00199720215955,0.00241849990717,1.21094396759,0.0230282292558,1.41055473006,0.209626461363,0.0712745936698,0.166666666667,0.949874686717,0.9912,62
63563817,4190988309,178,178,2478,1635,222330,0.00173778909845,0.00195851775543,1.12701694192,0.00735393334233,1.51559633028,0.0965816578959,0.0184455539064,0.595744680851,2.1,0.7143,136
63563817,2526158329,177,177,149.2,87,9929,0.000104632015129,0.000104214706252,0.996011652114,0.00876221170309,1.71494252874,0.0391781649713,0.0114815187834,0.461538461538,1.71666666667,0.79165,27.5
