模型,最大点击滞后天数,变量,变量类型,系数单位,系数,HAC标准误,t值,p值,95%置信区间下限,95%置信区间上限,VIF,样本量,R2,调整R2
主模型_lag0至3,3,const,截距,新注册数,91.8295801832,28.0277126951,3.27638509721,0.00115985109521,36.7000297069,146.959130659,,362,0.71648890633,0.698977927015
主模型_lag0至3,3,点击量_lag0,点击滞后项,每增加1000次点击对应的新注册数变化,74.6428619892,8.32310495022,8.96815100081,2.05919217894e-17,58.2715997509,91.0141242275,3.31170783376,362,0.71648890633,0.698977927015
主模型_lag0至3,3,点击量_lag1,点击滞后项,每增加1000次点击对应的新注册数变化,7.4405613232,8.04456366485,0.924917948716,0.355664573545,-8.38281975125,23.2639423977,5.16063312818,362,0.71648890633,0.698977927015
主模型_lag0至3,3,点击量_lag2,点击滞后项,每增加1000次点击对应的新注册数变化,10.4115274763,4.94649034416,2.10483125447,0.0360394430641,0.681950465341,20.1411044873,5.137592515,362,0.71648890633,0.698977927015
主模型_lag0至3,3,点击量_lag3,点击滞后项,每增加1000次点击对应的新注册数变化,3.07063700857,6.52662411179,0.470478605168,0.638314779663,-9.76700897859,15.9082829957,3.45539149689,362,0.71648890633,0.698977927015
主模型_lag0至3,3,星期_周二,星期控制变量,相对基准组的注册数差异,40.7092384845,20.4164558287,1.99394247591,0.0469567468159,0.550769457846,80.8677075111,2.39731426702,362,0.71648890633,0.698977927015
主模型_lag0至3,3,星期_周三,星期控制变量,相对基准组的注册数差异,37.0236341042,19.7496212374,1.87465033679,0.0616979970392,-1.82319413109,75.8704623395,2.86436161269,362,0.71648890633,0.698977927015
主模型_lag0至3,3,星期_周四,星期控制变量,相对基准组的注册数差异,11.4160808967,16.6848644366,0.684217779535,0.494303747301,-21.4024757281,44.2346375214,2.56355645201,362,0.71648890633,0.698977927015
主模型_lag0至3,3,星期_周五,星期控制变量,相对基准组的注册数差异,5.12692724519,15.8273523091,0.323928294832,0.746191492544,-26.0049324081,36.2587868985,2.09192709132,362,0.71648890633,0.698977927015
主模型_lag0至3,3,星期_周六,星期控制变量,相对基准组的注册数差异,-9.86488114438,16.0910374019,-0.613066820862,0.540242025683,-41.5154003399,21.7856380512,2.0198059837,362,0.71648890633,0.698977927015
主模型_lag0至3,3,星期_周日,星期控制变量,相对基准组的注册数差异,-9.01463443961,9.80088355842,-0.919777730842,0.358341013832,-28.2926365628,10.2633676836,2.0158877782,362,0.71648890633,0.698977927015
主模型_lag0至3,3,月份_2月,月份控制变量,相对基准组的注册数差异,-16.7417174119,30.6460079766,-0.546293580055,0.585222439976,-77.0213649884,43.5379301646,1.90872407076,362,0.71648890633,0.698977927015
主模型_lag0至3,3,月份_3月,月份控制变量,相对基准组的注册数差异,-47.1066053112,65.2544086099,-0.721891536752,0.470857333396,-175.459791045,81.2465804227,2.41645441544,362,0.71648890633,0.698977927015
主模型_lag0至3,3,月份_4月,月份控制变量,相对基准组的注册数差异,-124.785457659,29.4120120813,-4.24266987631,2.85158382591e-05,-182.637877594,-66.9330377244,2.0180060848,362,0.71648890633,0.698977927015
主模型_lag0至3,3,月份_5月,月份控制变量,相对基准组的注册数差异,-125.927697854,33.3736818293,-3.77326357031,0.000190042445012,-191.572586432,-60.2828092749,2.10672683784,362,0.71648890633,0.698977927015
主模型_lag0至3,3,月份_6月,月份控制变量,相对基准组的注册数差异,-108.214932126,24.1692752247,-4.47737597091,1.03286137764e-05,-155.75506831,-60.6747959408,1.90167561015,362,0.71648890633,0.698977927015
主模型_lag0至3,3,月份_7月,月份控制变量,相对基准组的注册数差异,-131.783325407,28.4877798344,-4.62595983866,5.30826741647e-06,-187.817812181,-75.7488386321,1.94575907465,362,0.71648890633,0.698977927015
主模型_lag0至3,3,月份_8月,月份控制变量,相对基准组的注册数差异,-216.65387769,45.5469537125,-4.75671499477,2.91263024881e-06,-306.243174935,-127.064580445,2.72383577465,362,0.71648890633,0.698977927015
主模型_lag0至3,3,月份_9月,月份控制变量,相对基准组的注册数差异,-53.4171729392,35.604496131,-1.50029290522,0.134466553399,-123.449996808,16.6156509301,2.0208450932,362,0.71648890633,0.698977927015
主模型_lag0至3,3,月份_10月,月份控制变量,相对基准组的注册数差异,-77.3928137727,25.0972917596,-3.08371176118,0.00221170833567,-126.758326682,-28.0273008632,1.947291031,362,0.71648890633,0.698977927015
主模型_lag0至3,3,月份_11月,月份控制变量,相对基准组的注册数差异,-55.5929354224,27.0369397228,-2.05618446438,0.0405276865998,-108.773669412,-2.41220143304,1.97366585469,362,0.71648890633,0.698977927015
主模型_lag0至3,3,月份_12月,月份控制变量,相对基准组的注册数差异,-86.5871404161,27.273400046,-3.17478349858,0.00163654207758,-140.232983759,-32.9412970735,2.02936183987,362,0.71648890633,0.698977927015
敏感性模型_lag0至7,7,const,截距,新注册数,76.2727914025,35.2252095397,2.16528992728,0.0310773351454,6.98004683677,145.565535968,,358,0.721648525988,0.700688324632
敏感性模型_lag0至7,7,点击量_lag0,点击滞后项,每增加1000次点击对应的新注册数变化,73.9023274953,8.88171560715,8.32072662131,2.29808197511e-15,56.4307933607,91.3738616299,3.43244455358,358,0.721648525988,0.700688324632
敏感性模型_lag0至7,7,点击量_lag1,点击滞后项,每增加1000次点击对应的新注册数变化,9.08602490464,8.03399127355,1.1309478185,0.258893351135,-6.71792097494,24.8899707842,5.24200933092,358,0.721648525988,0.700688324632
敏感性模型_lag0至7,7,点击量_lag2,点击滞后项,每增加1000次点击对应的新注册数变化,10.1027800601,5.06248297791,1.99561758611,0.0467922961602,0.144192320192,20.0613678,5.22327181059,358,0.721648525988,0.700688324632
敏感性模型_lag0至7,7,点击量_lag3,点击滞后项,每增加1000次点击对应的新注册数变化,-0.541159928335,5.85367254608,-0.0924479331694,0.926397916193,-12.0561244043,10.9738045476,5.18445157165,358,0.721648525988,0.700688324632
敏感性模型_lag0至7,7,点击量_lag4,点击滞后项,每增加1000次点击对应的新注册数变化,6.42956367113,5.22558007615,1.23040190322,0.219417698245,-3.84985808836,16.7089854306,5.17827614405,358,0.721648525988,0.700688324632
敏感性模型_lag0至7,7,点击量_lag5,点击滞后项,每增加1000次点击对应的新注册数变化,-2.64184373784,4.95433780462,-0.533238515826,0.594225254987,-12.3876953161,7.10400784046,5.18783039657,358,0.721648525988,0.700688324632
敏感性模型_lag0至7,7,点击量_lag6,点击滞后项,每增加1000次点击对应的新注册数变化,7.14267506242,5.41004489662,1.32026169818,0.187657142307,-3.49961391215,17.784964037,5.21444585712,358,0.721648525988,0.700688324632
敏感性模型_lag0至7,7,点击量_lag7,点击滞后项,每增加1000次点击对应的新注册数变化,-7.91158605,4.35057648328,-1.81851441537,0.0698864562516,-16.4697575672,0.646585467191,3.76811192283,358,0.721648525988,0.700688324632
