模型,因变量,因变量单位,假日变量,参考组,假日样本天数,系数,HAC标准误,t值,p值,95%置信区间下限,95%置信区间上限,协方差估计,推断限制
总消费额~假日类型+月份+星期,总消费额,元,元旦,非节假日,1,-3861.69451108,,,,,,Newey-West HAC(maxlags=7),单日样本：仅保留系数作描述，不报告标准误、置信区间和p值
总消费额~假日类型+月份+星期,总消费额,元,春节,非节假日,8,-3825.16939131,630.761618838,-6.06436612037,3.51636503682e-09,-5065.84288525,-2584.49589737,Newey-West HAC(maxlags=7),
总消费额~假日类型+月份+星期,总消费额,元,清明节,非节假日,3,-2445.1466516,540.54918756,-4.52344894391,8.41041523526e-06,-3508.37724324,-1381.91605997,Newey-West HAC(maxlags=7),
总消费额~假日类型+月份+星期,总消费额,元,劳动节,非节假日,5,-3572.96232362,680.824901512,-5.24799007158,2.7085332308e-07,-4912.10754758,-2233.81709967,Newey-West HAC(maxlags=7),
总消费额~假日类型+月份+星期,总消费额,元,端午节,非节假日,3,-551.721741877,524.876859678,-1.05114510519,0.293936280221,-1584.12572452,480.682240764,Newey-West HAC(maxlags=7),
总消费额~假日类型+月份+星期,总消费额,元,国庆/中秋假期,非节假日,8,-2851.50965469,387.837034539,-7.35233977353,1.45763305062e-12,-3614.36382075,-2088.65548863,Newey-West HAC(maxlags=7),
总点击量~假日类型+月份+星期,总点击量,次,元旦,非节假日,1,-1595.85276651,,,,,,Newey-West HAC(maxlags=7),单日样本：仅保留系数作描述，不报告标准误、置信区间和p值
总点击量~假日类型+月份+星期,总点击量,次,春节,非节假日,8,-1608.60843305,323.921998919,-4.9660363866,1.08231963451e-06,-2245.74523111,-971.471634997,Newey-West HAC(maxlags=7),
总点击量~假日类型+月份+星期,总点击量,次,清明节,非节假日,3,-2324.68249722,348.155201412,-6.67714423852,9.90369067902e-11,-3009.48467489,-1639.88031955,Newey-West HAC(maxlags=7),
总点击量~假日类型+月份+星期,总点击量,次,劳动节,非节假日,5,-2238.71555455,323.967761581,-6.91030349324,2.38423462024e-11,-2875.94236525,-1601.48874385,Newey-West HAC(maxlags=7),
总点击量~假日类型+月份+星期,总点击量,次,端午节,非节假日,3,-726.551255733,352.826103231,-2.05923328541,0.040230800656,-1420.54084098,-32.5616704837,Newey-West HAC(maxlags=7),
总点击量~假日类型+月份+星期,总点击量,次,国庆/中秋假期,非节假日,8,-1634.33901847,229.716254765,-7.11459892179,6.65285141074e-12,-2086.17828691,-1182.49975003,Newey-West HAC(maxlags=7),
CTR~假日类型+月份+星期,CTR,百分点,元旦,非节假日,1,3.39132023263,,,,,,Newey-West HAC(maxlags=7),单日样本：仅保留系数作描述，不报告标准误、置信区间和p值
CTR~假日类型+月份+星期,CTR,百分点,春节,非节假日,8,1.82811739799,0.543230636822,3.36526932408,0.000851828212645,0.759612542796,2.89662225319,Newey-West HAC(maxlags=7),
CTR~假日类型+月份+星期,CTR,百分点,清明节,非节假日,3,-3.81543864309,1.49853694515,-2.5461091603,0.0113324408927,-6.76297858846,-0.867898697712,Newey-West HAC(maxlags=7),
CTR~假日类型+月份+星期,CTR,百分点,劳动节,非节假日,5,-0.718232174813,0.148002913009,-4.85282458439,1.85550277451e-06,-1.00934578368,-0.427118565943,Newey-West HAC(maxlags=7),
