指标,假期,基准组,假期样本数,基准组样本数,假期中位数,普通工作日中位数,中位数相对变化率,效应量名称,效应量,效应量方向
总消费额,元旦,普通工作日,1,248,937.45,4295.58,-0.781764045833,rank_biserial_r,-0.822580645161,正值表示假期整体偏高，负值表示假期整体偏低
总消费额,春节,普通工作日,8,248,979.04,4295.58,-0.772082000568,rank_biserial_r,-0.778225806452,正值表示假期整体偏高，负值表示假期整体偏低
总消费额,清明节,普通工作日,3,248,331.7,4295.58,-0.922781091261,rank_biserial_r,-0.989247311828,正值表示假期整体偏高，负值表示假期整体偏低
总消费额,劳动节,普通工作日,5,248,540.67,4295.58,-0.874133411553,rank_biserial_r,-0.948387096774,正值表示假期整体偏高，负值表示假期整体偏低
总消费额,端午节,普通工作日,3,248,1654.14,4295.58,-0.614920453117,rank_biserial_r,-0.591397849462,正值表示假期整体偏高，负值表示假期整体偏低
总消费额,国庆/中秋假期,普通工作日,8,248,509.89,4295.58,-0.881298916561,rank_biserial_r,-0.89314516129,正值表示假期整体偏高，负值表示假期整体偏低
总点击量,元旦,普通工作日,1,248,359,2600,-0.861923076923,rank_biserial_r,-0.983870967742,正值表示假期整体偏高，负值表示假期整体偏低
总点击量,春节,普通工作日,8,248,396,2600,-0.847692307692,rank_biserial_r,-0.934475806452,正值表示假期整体偏高，负值表示假期整体偏低
总点击量,清明节,普通工作日,3,248,229,2600,-0.911923076923,rank_biserial_r,-0.991935483871,正值表示假期整体偏高，负值表示假期整体偏低
总点击量,劳动节,普通工作日,5,248,552,2600,-0.787692307692,rank_biserial_r,-0.867741935484,正值表示假期整体偏高，负值表示假期整体偏低
总点击量,端午节,普通工作日,3,248,618,2600,-0.762307692308,rank_biserial_r,-0.870967741935,正值表示假期整体偏高，负值表示假期整体偏低
总点击量,国庆/中秋假期,普通工作日,8,248,451.5,2600,-0.826346153846,rank_biserial_r,-0.851814516129,正值表示假期整体偏高，负值表示假期整体偏低
CTR,元旦,普通工作日,1,248,0.130025,0.0353095,2.68243673799,rank_biserial_r,0.959677419355,正值表示假期整体偏高，负值表示假期整体偏低
CTR,春节,普通工作日,8,248,0.1170735,0.0353095,2.31563743468,rank_biserial_r,0.901209677419,正值表示假期整体偏高，负值表示假期整体偏低
CTR,清明节,普通工作日,3,248,0.01761,0.0353095,-0.501267364307,rank_biserial_r,-0.89247311828,正值表示假期整体偏高，负值表示假期整体偏低
CTR,劳动节,普通工作日,5,248,0.021704,0.0353095,-0.38532123083,rank_biserial_r,-0.691935483871,正值表示假期整体偏高，负值表示假期整体偏低
CTR,端午节,普通工作日,3,248,0.026868,0.0353095,-0.239071637944,rank_biserial_r,-0.502688172043,正值表示假期整体偏高，负值表示假期整体偏低
CTR,国庆/中秋假期,普通工作日,8,248,0.019612,0.0353095,-0.444568742123,rank_biserial_r,-0.662298387097,正值表示假期整体偏高，负值表示假期整体偏低
CPC,元旦,普通工作日,1,248,2.611281,1.701865,0.5343643591,rank_biserial_r,0.846774193548,正值表示假期整体偏高，负值表示假期整体偏低
CPC,春节,普通工作日,8,248,2.508608,1.701865,0.474034661974,rank_biserial_r,0.778225806452,正值表示假期整体偏高，负值表示假期整体偏低
CPC,清明节,普通工作日,3,248,1.448472,1.701865,-0.148891363298,rank_biserial_r,-0.274193548387,正值表示假期整体偏高，负值表示假期整体偏低
CPC,劳动节,普通工作日,5,248,0.971132,1.701865,-0.429371894951,rank_biserial_r,-0.841935483871,正值表示假期整体偏高，负值表示假期整体偏低
CPC,端午节,普通工作日,3,248,2.678223,1.701865,0.573698853904,rank_biserial_r,0.913978494624,正值表示假期整体偏高，负值表示假期整体偏低
CPC,国庆/中秋假期,普通工作日,8,248,1.1035395,1.701865,-0.35157048297,rank_biserial_r,-0.664314516129,正值表示假期整体偏高，负值表示假期整体偏低
新注册数,元旦,普通工作日,1,248,102,270,-0.622222222222,rank_biserial_r,-0.741935483871,正值表示假期整体偏高，负值表示假期整体偏低
新注册数,春节,普通工作日,8,248,49.5,270,-0.816666666667,rank_biserial_r,-0.892137096774,正值表示假期整体偏高，负值表示假期整体偏低
新注册数,清明节,普通工作日,3,248,28,270,-0.896296296296,rank_biserial_r,-0.961021505376,正值表示假期整体偏高，负值表示假期整体偏低
新注册数,劳动节,普通工作日,5,248,60,270,-0.777777777778,rank_biserial_r,-0.864516129032,正值表示假期整体偏高，负值表示假期整体偏低
新注册数,端午节,普通工作日,3,248,69,270,-0.744444444444,rank_biserial_r,-0.864247311828,正值表示假期整体偏高，负值表示假期整体偏低
新注册数,国庆/中秋假期,普通工作日,8,248,56.5,270,-0.790740740741,rank_biserial_r,-0.844758064516,正值表示假期整体偏高，负值表示假期整体偏低
