指标,假期,推断类型,假期样本数,局部配对数,假期中位数,局部对照中位数,中位数相对变化率,检验方法,统计量名称,统计量,原始p值,校正方法,校正p值,校正后显著,效应量名称,效应量,说明
总消费额,春节,正式配对检验,8,8,979.04,3891.155,-0.748393471861,Wilcoxon配对符号秩检验,W,0,0.0078125,Holm（同一指标的5个假期）,0.0390625,True,paired_rank_biserial_r,-1,正效应量表示假期值整体高于同星期局部对照
总消费额,清明节,正式配对检验,3,3,331.7,1993.92,-0.833644278607,Wilcoxon配对符号秩检验,W,0,0.25,Holm（同一指标的5个假期）,0.5,False,paired_rank_biserial_r,-1,正效应量表示假期值整体高于同星期局部对照
总消费额,劳动节,正式配对检验,5,5,540.67,5784.745,-0.90653520596,Wilcoxon配对符号秩检验,W,0,0.0625,Holm（同一指标的5个假期）,0.1875,False,paired_rank_biserial_r,-1,正效应量表示假期值整体高于同星期局部对照
总消费额,端午节,正式配对检验,3,3,1654.14,2264.25,-0.269453461411,Wilcoxon配对符号秩检验,W,0,0.25,Holm（同一指标的5个假期）,0.5,False,paired_rank_biserial_r,-1,正效应量表示假期值整体高于同星期局部对照
总消费额,国庆/中秋假期,正式配对检验,8,8,509.89,3586.4275,-0.857827880251,Wilcoxon配对符号秩检验,W,0,0.0078125,Holm（同一指标的5个假期）,0.0390625,True,paired_rank_biserial_r,-1,正效应量表示假期值整体高于同星期局部对照
总点击量,春节,正式配对检验,8,8,396,1469,-0.730428863172,Wilcoxon配对符号秩检验,W,0,0.0078125,Holm（同一指标的5个假期）,0.0390625,True,paired_rank_biserial_r,-1,正效应量表示假期值整体高于同星期局部对照
总点击量,清明节,正式配对检验,3,3,229,2076.5,-0.889718275945,Wilcoxon配对符号秩检验,W,0,0.25,Holm（同一指标的5个假期）,0.5,False,paired_rank_biserial_r,-1,正效应量表示假期值整体高于同星期局部对照
总点击量,劳动节,正式配对检验,5,5,552,3478,-0.841288096607,Wilcoxon配对符号秩检验,W,0,0.0625,Holm（同一指标的5个假期）,0.1875,False,paired_rank_biserial_r,-1,正效应量表示假期值整体高于同星期局部对照
总点击量,端午节,正式配对检验,3,3,618,2121,-0.708628005658,Wilcoxon配对符号秩检验,W,0,0.25,Holm（同一指标的5个假期）,0.5,False,paired_rank_biserial_r,-1,正效应量表示假期值整体高于同星期局部对照
总点击量,国庆/中秋假期,正式配对检验,8,8,451.5,2465.5,-0.816872845265,Wilcoxon配对符号秩检验,W,0,0.0078125,Holm（同一指标的5个假期）,0.0390625,True,paired_rank_biserial_r,-1,正效应量表示假期值整体高于同星期局部对照
