假期,假期日期,星期,前置对照日期,前置间隔天数,后置对照日期,后置间隔天数,匹配规则,总消费额_假期值,总消费额_前置对照值,总消费额_后置对照值,总消费额_配对对照均值,总点击量_假期值,总点击量_前置对照值,总点击量_后置对照值,总点击量_配对对照均值,CTR_假期值,CTR_前置对照值,CTR_后置对照值,CTR_配对对照均值,CPC_假期值,CPC_前置对照值,CPC_后置对照值,CPC_配对对照均值,新注册数_假期值,新注册数_前置对照值,新注册数_后置对照值,新注册数_配对对照均值
春节,2025-01-28,周二,2025-01-21,7,2025-02-11,14,假期区间前后各14天内非节假日；同星期；两侧分别不放回最近匹配,1640,1183.02,6026.83,3604.925,650,568,2322,1445,0.100092,0.059377,0.096819,0.078098,2.523077,2.082782,2.595534,2.339158,77,375,322,348.5
春节,2025-01-29,周三,2025-01-22,7,2025-02-05,7,假期区间前后各14天内非节假日；同星期；两侧分别不放回最近匹配,638.08,4317.64,2007.82,3162.73,247,1498,834,1166,0.092718,0.083236,0.11486,0.099048,2.58332,2.88227,2.407458,2.644864,40,308,125,216.5
春节,2025-01-30,周四,2025-01-23,7,2025-02-06,7,假期区间前后各14天内非节假日；同星期；两侧分别不放回最近匹配,608.57,5633.33,2043.97,3838.65,244,2100,785,1442.5,0.137931,0.113526,0.116452,0.114989,2.494139,2.682538,2.603783,2.6431605,42,314,110,212
春节,2025-01-31,周五,2025-01-24,7,2025-02-07,7,假期区间前后各14天内非节假日；同星期；两侧分别不放回最近匹配,721.31,5363.98,2523.34,3943.66,274,1988,998,1493,0.112943,0.080385,0.093718,0.0870515,2.632518,2.698179,2.528397,2.613288,40,308,112,210
春节,2025-02-01,周六,2025-01-25,7,2025-02-08,7,假期区间前后各14天内非节假日；同星期；两侧分别不放回最近匹配,803.04,6020.49,1938.27,3979.38,313,2321,921,1621,0.107082,0.091324,0.084402,0.087863,2.565623,2.593921,2.104528,2.3492245,43,325,121,223
春节,2025-02-02,周日,2025-01-26,7,2025-02-09,7,假期区间前后各14天内非节假日；同星期；两侧分别不放回最近匹配,1155.04,6023.3,6023.95,6023.625,479,2256,2261,2258.5,0.121204,0.09227,0.087615,0.0899425,2.411357,2.669902,2.664286,2.667094,56,335,285,310
春节,2025-02-03,周一,2025-01-27,7,2025-02-10,7,假期区间前后各14天内非节假日；同星期；两侧分别不放回最近匹配,1403.28,2505.41,6045.35,4275.38,586,1195,2308,1751.5,0.136121,0.100176,0.09731,0.098743,2.394676,2.096577,2.619302,2.3579395,72,187,329,258
春节,2025-02-04,周二,2025-01-14,21,2025-02-18,14,假期区间前后各14天内非节假日；同星期；两侧分别不放回最近匹配,1806.39,788.71,4774.4,2781.555,739,402,1912,1157,0.127063,0.04784,0.093055,0.0704475,2.444371,1.961965,2.497071,2.229518,92,57,232,144.5
清明节,2025-04-04,周五,2025-03-28,7,2025-04-11,7,假期区间前后各14天内非节假日；同星期；两侧分别不放回最近匹配,304.24,622.3,3365.54,1993.92,207,822,3331,2076.5,0.016765,0.024316,0.1023,0.063308,1.469758,0.757056,1.010369,0.8837125,25,55,357,206
清明节,2025-04-05,周六,2025-03-29,7,2025-04-12,7,假期区间前后各14天内非节假日；同星期；两侧分别不放回最近匹配,331.7,1003.57,3363.24,2183.405,229,1129,3438,2283.5,0.01761,0.024443,0.104852,0.0646475,1.448472,0.888902,0.978255,0.9335785,28,61,363,212
