指标,事后方法,组1,组2,统计量名称,统计量,原始p值,校正方法,校正p值,校正后显著,效应量名称,效应量
总消费额,Dunn检验,普通工作日,普通周末,z,1.66879377518,0.0951582567959,Holm,1,False,rank_biserial_r,0.126676332004
总消费额,Dunn检验,普通工作日,元旦,z,1.41384148359,0.157408450334,Holm,1,False,rank_biserial_r,0.822580645161
总消费额,Dunn检验,普通工作日,春节,z,3.76249976038,0.000168223469595,Holm,0.00420558673989,True,rank_biserial_r,0.778225806452
总消费额,Dunn检验,普通工作日,清明节,z,3.17335629571,0.00150687477403,Holm,0.0346581198026,True,rank_biserial_r,0.989247311828
总消费额,Dunn检验,普通工作日,劳动节,z,3.79520037767,0.000147524259511,Holm,0.00383563074729,True,rank_biserial_r,0.948387096774
总消费额,Dunn检验,普通工作日,端午节,z,1.63407342711,0.102243433704,Holm,1,False,rank_biserial_r,0.591397849462
总消费额,Dunn检验,普通工作日,国庆/中秋假期,z,4.49797723369,6.86030414064e-06,Holm,0.000192088515938,True,rank_biserial_r,0.89314516129
总消费额,Dunn检验,普通周末,元旦,z,1.20374154601,0.22868948896,Holm,1,False,rank_biserial_r,0.797752808989
总消费额,Dunn检验,普通周末,春节,z,3.10301041615,0.00191562897969,Holm,0.0421438375532,True,rank_biserial_r,0.744382022472
总消费额,Dunn检验,普通周末,清明节,z,2.78872528416,0.00529159298314,Holm,0.111123452646,False,rank_biserial_r,0.977528089888
总消费额,Dunn检验,普通周末,劳动节,z,3.28127057178,0.00103340558731,Holm,0.0248017340954,True,rank_biserial_r,0.959550561798
总消费额,Dunn检验,普通周末,端午节,z,1.26561782184,0.205649942381,Holm,1,False,rank_biserial_r,0.445692883895
总消费额,Dunn检验,普通周末,国庆/中秋假期,z,3.81877903494,0.000134113824967,Holm,0.00362107327411,True,rank_biserial_r,0.879213483146
总消费额,Dunn检验,元旦,春节,z,-0.0614327687698,0.95101455593,Holm,1,False,rank_biserial_r,0
总消费额,Dunn检验,元旦,清明节,z,0.36935739075,0.711861353284,Holm,1,False,rank_biserial_r,1
总消费额,Dunn检验,元旦,劳动节,z,0.271670619535,0.785875294113,Holm,1,False,rank_biserial_r,1
