指标,日期类型,样本数,均值,中位数,标准差,第一四分位数,第三四分位数,Shapiro_W,Shapiro_p值,正态性通过,正态性检验说明
总消费额,普通工作日,248,4293.67697581,4295.58,2622.14156027,2034.9325,5896.55,0.950628328813,1.86972081229e-07,False,可检验
总消费额,普通周末,89,3777.41730337,3400.24,2530.86375315,1553.6,5409.82,0.915058693896,2.25402538261e-05,False,可检验
总消费额,元旦,1,937.45,937.45,,937.45,937.45,,,False,样本量小于3
总消费额,春节,8,1096.96375,979.04,473.887589231,700.5025,1462.46,0.887209573593,0.220395465661,True,可检验
总消费额,清明节,3,385.813333333,331.7,118.307508356,317.97,426.6,0.843091951351,0.222146427671,True,可检验
总消费额,劳动节,5,594.318,540.67,152.911246218,530.86,617.64,0.896593600094,0.391345786142,True,可检验
总消费额,端午节,3,1709.44,1654.14,133.673510839,1633.215,1758.015,0.871642628,0.300200434568,True,可检验
总消费额,国庆/中秋假期,8,744.65625,509.89,548.672986498,451.535,752.9925,0.66888144334,0.000996793749372,False,可检验
总点击量,普通工作日,248,2517.15322581,2600,1385.69710628,1253.75,3282.5,0.964709670719,8.50632182942e-06,False,可检验
总点击量,普通周末,89,2201.78651685,2040,1320.5429709,1051,2791,0.927936506413,0.000100651757464,False,可检验
总点击量,元旦,1,359,359,,359,359,,,False,样本量小于3
总点击量,春节,8,441.5,396,198.447546146,267.25,602,0.874476933675,0.166635779631,True,可检验
总点击量,清明节,3,268.333333333,229,87.8711177426,218,299,0.849723709204,0.239711451635,True,可检验
总点击量,劳动节,5,603.6,552,173.24058416,483,636,0.863992130163,0.242939182907,True,可检验
总点击量,端午节,3,635.333333333,618,44.6019431565,610,652,0.88672922252,0.344424636381,True,可检验
总点击量,国庆/中秋假期,8,622.75,451.5,370.802508082,408.5,665.25,0.725635651051,0.00437612426578,False,可检验
CTR,普通工作日,248,0.0462057782258,0.0353095,0.0307899916032,0.0270835,0.0460555,0.786271625227,1.03616500376e-17,False,可检验
CTR,普通周末,89,0.0452794157303,0.03253,0.0333057188758,0.025543,0.041629,0.731532681959,1.84203535705e-11,False,可检验
CTR,元旦,1,0.130025,0.130025,,0.130025,0.130025,,,False,样本量小于3
CTR,春节,8,0.11689425,0.1170735,0.0165308779626,0.1053345,0.1293275,0.953971726115,0.75111998096,True,可检验
CTR,清明节,3,0.0181666666667,0.01761,0.00174780099935,0.0171875,0.0188675,0.92392048601,0.466293539703,True,可检验
CTR,劳动节,5,0.0219092,0.021704,0.000910262983978,0.021169,0.022681,0.904520581838,0.435372854244,True,可检验
CTR,端午节,3,0.0266143333333,0.026868,0.00237667463767,0.0254945,0.027861,0.99145624858,0.823214743254,True,可检验
CTR,国庆/中秋假期,8,0.022493,0.019612,0.00707975913634,0.0191795,0.022432,0.615098073512,0.000238582094633,False,可检验
CPC,普通工作日,248,1.71340528226,1.701865,0.556087406184,1.24626375,2.057377,0.980164204935,0.00153323454288,False,可检验
CPC,普通周末,89,1.69234769663,1.646509,0.547985861985,1.234719,2.028527,0.979195797433,0.163806764363,True,可检验
CPC,元旦,1,2.611281,2.611281,,2.611281,2.611281,,,False,样本量小于3
CPC,春节,8,2.506135125,2.508608,0.085457352855,2.4361175,2.57004725,0.956860203322,0.779717070949,True,可检验
CPC,清明节,3,1.44383633333,1.448472,0.0285234362294,1.4308755,1.459115,0.980190114044,0.730296375334,True,可检验
CPC,劳动节,5,0.9912092,0.971132,0.0614343546698,0.956688,0.979475,0.727718863324,0.0182646397879,False,可检验
CPC,端午节,3,2.68965,2.678223,0.021211462208,2.6774125,2.696174,0.782337053934,0.0729943973238,True,可检验
CPC,国庆/中秋假期,8,1.148187625,1.1035395,0.105373876746,1.09401325,1.154722,0.659480429848,0.000777785961056,False,可检验
新注册数,普通工作日,248,259.165322581,270,143.134830999,154.75,324.25,0.900555749421,9.71389584667e-12,False,可检验
新注册数,普通周末,89,216.730337079,214,134.725711595,119,285,0.906471168501,8.85152688332e-06,False,可检验
新注册数,元旦,1,102,102,,102,102,,,False,样本量小于3
新注册数,春节,8,57.75,49.5,20.1618451537,41.5,73.25,0.849099101698,0.0932868354964,True,可检验
新注册数,清明节,3,32.6666666667,28,10.7857931249,26.5,36.5,0.859598853868,0.266471356167,True,可检验
新注册数,劳动节,5,66.6,60,19.4627850011,51,76,0.884439141344,0.32991320916,True,可检验
新注册数,端午节,3,68,69,3.60555127546,66.5,70,0.942307692308,0.536737125066,True,可检验
新注册数,国庆/中秋假期,8,69,56.5,39.4534083264,46.5,70,0.697910743709,0.00213314833511,False,可检验
