分析口径,分析对象,总体数量,排序依据,头部比例,入选对象数,实际入选比例,总消费额贡献率,总点击量贡献率,总浏览量贡献率,排序指标Gini系数,边界处理
全部投放记录（含zero_effect）,关键词投放记录,2227,消费额降序,0.01,23,0.0103277952402,0.778799437548,0.777262028114,0.869485017086,0.98054992358,对象数向上取整；并列值按对象编码稳定排序
全部投放记录（含zero_effect）,关键词投放记录,2227,消费额降序,0.05,112,0.0502918724742,0.971872810867,0.964314249265,0.983109711843,0.98054992358,对象数向上取整；并列值按对象编码稳定排序
全部投放记录（含zero_effect）,关键词投放记录,2227,消费额降序,0.1,223,0.100134710373,0.989527289183,0.98364907195,0.991710563215,0.98054992358,对象数向上取整；并列值按对象编码稳定排序
全部投放记录（含zero_effect）,关键词投放记录,2227,消费额降序,0.2,446,0.200269420745,0.996524884701,0.993803417524,0.99704075465,0.98054992358,对象数向上取整；并列值按对象编码稳定排序
全部投放记录（含zero_effect）,关键词投放记录,2227,点击量降序,0.01,23,0.0103277952402,0.770814107405,0.795966771081,0.891604811339,0.980122990178,对象数向上取整；并列值按对象编码稳定排序
全部投放记录（含zero_effect）,关键词投放记录,2227,点击量降序,0.05,112,0.0502918724742,0.965474871798,0.970359900098,0.983789337875,0.980122990178,对象数向上取整；并列值按对象编码稳定排序
全部投放记录（含zero_effect）,关键词投放记录,2227,点击量降序,0.1,223,0.100134710373,0.985014114908,0.985739355426,0.992054894163,0.980122990178,对象数向上取整；并列值按对象编码稳定排序
全部投放记录（含zero_effect）,关键词投放记录,2227,点击量降序,0.2,446,0.200269420745,0.995826704448,0.994384384564,0.997170806544,0.980122990178,对象数向上取整；并列值按对象编码稳定排序
有实际效果记录（排除zero_effect）,关键词投放记录,1339,消费额降序,0.01,14,0.0104555638536,0.669167430234,0.637869468086,0.808176682115,0.967650993139,对象数向上取整；并列值按对象编码稳定排序
有实际效果记录（排除zero_effect）,关键词投放记录,1339,消费额降序,0.05,67,0.0500373412995,0.927759694431,0.923421356828,0.953751868084,0.967650993139,对象数向上取整；并列值按对象编码稳定排序
有实际效果记录（排除zero_effect）,关键词投放记录,1339,消费额降序,0.1,134,0.100074682599,0.978811442178,0.97332223307,0.985746570486,0.967650993139,对象数向上取整；并列值按对象编码稳定排序
有实际效果记录（排除zero_effect）,关键词投放记录,1339,消费额降序,0.2,268,0.200149365198,0.99213726183,0.98672640046,0.993511604469,0.967650993139,对象数向上取整；并列值按对象编码稳定排序
有实际效果记录（排除zero_effect）,关键词投放记录,1339,点击量降序,0.01,14,0.0104555638536,0.648460179675,0.681674382947,0.821431325984,0.966940925413,对象数向上取整；并列值按对象编码稳定排序
有实际效果记录（排除zero_effect）,关键词投放记录,1339,点击量降序,0.05,67,0.0500373412995,0.909382841462,0.941163012164,0.966356252479,0.966940925413,对象数向上取整；并列值按对象编码稳定排序
有实际效果记录（排除zero_effect）,关键词投放记录,1339,点击量降序,0.1,134,0.100074682599,0.972394554336,0.975666465025,0.986193845738,0.966940925413,对象数向上取整；并列值按对象编码稳定排序
有实际效果记录（排除zero_effect）,关键词投放记录,1339,点击量降序,0.2,268,0.200149365198,0.988269629209,0.988413001683,0.99361067626,0.966940925413,对象数向上取整；并列值按对象编码稳定排序
独立关键词（按关键词编码聚合）,独立关键词,1884,消费额降序,0.01,19,0.01008492569,0.780060372532,0.779464911388,0.877138393611,0.979845041413,对象数向上取整；并列值按对象编码稳定排序
独立关键词（按关键词编码聚合）,独立关键词,1884,消费额降序,0.05,95,0.0504246284501,0.965972974883,0.957448057354,0.980989188266,0.979845041413,对象数向上取整；并列值按对象编码稳定排序
独立关键词（按关键词编码聚合）,独立关键词,1884,消费额降序,0.1,189,0.100318471338,0.98866744826,0.982925558357,0.991487571008,0.979845041413,对象数向上取整；并列值按对象编码稳定排序
独立关键词（按关键词编码聚合）,独立关键词,1884,消费额降序,0.2,377,0.200106157113,0.99637773366,0.993403328881,0.996805176775,0.979845041413,对象数向上取整；并列值按对象编码稳定排序
独立关键词（按关键词编码聚合）,独立关键词,1884,点击量降序,0.01,19,0.01008492569,0.771735331975,0.791163311632,0.895787770798,0.979323694319,对象数向上取整；并列值按对象编码稳定排序
独立关键词（按关键词编码聚合）,独立关键词,1884,点击量降序,0.05,95,0.0504246284501,0.95724753454,0.967629953942,0.982188699168,0.979323694319,对象数向上取整；并列值按对象编码稳定排序
独立关键词（按关键词编码聚合）,独立关键词,1884,点击量降序,0.1,189,0.100318471338,0.983753733941,0.985178752179,0.991722826173,0.979323694319,对象数向上取整；并列值按对象编码稳定排序
独立关键词（按关键词编码聚合）,独立关键词,1884,点击量降序,0.2,377,0.200106157113,0.995494427676,0.99409929146,0.996958141039,0.979323694319,对象数向上取整；并列值按对象编码稳定排序
