关键词,投放实例数,方案数,推广单元数,方案ID列表,推广单元ID列表,总消费额,总点击量,总浏览量,CPC有效正值数,CPC最小正值,CPC中位数,CPC最大值,CPC最大最小比,点击量最小值,点击量中位数,点击量最大值,点击量极差,浏览深度有效正值数,浏览深度最小正值,浏览深度中位数,浏览深度最大值,浏览深度最大最小比,跳出率最小值,跳出率中位数,跳出率最大值,平均访问时长最小值_秒,平均访问时长中位数_秒,平均访问时长最大值_秒,组内最大倍率,差异排序依据
1270,2,2,2,495403620；525368335,9628223555；9811363528,19.82,20,161,2,0.8825,0.9503125,1.018125,1.15368271955,4,10,16,12,2,0.25,5.125,10,40,0.6429,0.82145,1,3,583,1163,40,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
2354,3,3,3,495403620；495817671；525368335,9628223555；9630806627；9811363528,65.71,62,172,3,1.04206896552,1.195,1.44,1.3818663137,2,2,58,56,3,1.5,2,40.5,27,0,0,0.6364,126,197,1618,27,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
6149,2,2,2,495403620；63563817,1841014603；9628223555,244.19,186,638,2,0.683370786517,1.28689157883,1.89041237113,2.76630550857,89,93,97,8,2,0.280898876404,3.30024325264,6.31958762887,22.4977319588,0.4804,0.69475,0.9091,171,284,397,22.4977319588,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
3923,2,2,2,495403620；525368335,9628223555；9811363528,331.02,35,237,2,0.985333333333,8.39866666667,15.812,16.0473612991,15,17.5,20,5,2,4.7,7.11666666667,9.53333333333,2.02836879433,0.4286,0.47745,0.5263,244,587,930,16.0473612991,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
4177,2,2,2,495817671；63563817,4190988309；9630806627,2055.48,1404,10919,2,0.965,1.21486447932,1.46472895863,1.51785384314,2,702,1402,1400,2,0.5,4.1437232525,7.78744650499,15.57489301,0.4145,0.70725,1,24,253.5,483,15.57489301,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
4706,2,2,2,495403620；525368335,9628223555；9811363528,10.72,16,104,2,0.582727272727,0.722363636364,0.862,1.47925117005,5,8,11,6,2,1.27272727273,9.63636363636,18,14.1428571429,0.4,0.64445,0.8889,94,392.5,691,14.1428571429,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
6474,3,3,3,495403620；495817671；525368335,9628223555；9630806627；9811363528,12373.58,764,1381,3,1.28166666667,2.14357142857,17.7253188406,13.829897665,18,56,690,672,3,1.75507246377,1.88888888889,2.42857142857,1.38374424914,0.5366,0.625,0.6592,172,265,273,13.829897665,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
3989,4,3,4,495403620；495817671；525368335,8878077181；9628223555；9630806627；9811363528,83543.92,126025,1241252,3,0.602743711826,1.68349206349,6.84448504983,11.3555478316,0,633.5,124758,124758,3,6.46031746032,8.49335548173,9.86404879847,1.52686750443,0.0814,0.1738,0.4483,394,567,631,11.3555478316,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
4594,2,2,2,495403620；525368335,9628223555；9811363528,2097,303,570,2,0.688,4.14685714286,7.60571428571,11.0548172757,30,151.5,273,243,2,0.8,1.4,2,2.5,0.7826,0.8913,1,40,133.5,227,11.0548172757,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
1018,3,3,3,495403620；495817671；525368335,9628223555；9630806627；9811363528,102.82,68,256,2,0.15,0.841194029851,1.5323880597,10.215920398,0,1,67,67,1,3.82089552239,1.91044776119,3.82089552239,,0,0.2778,0.5556,0,188,376,10.215920398,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
1040,2,2,2,495403620；495817671,9628223555；9630806627,11.85,11,32,2,0.908333333333,1.09416666667,1.28,1.40917431193,5,5.5,6,1,2,0.6,2.71666666667,4.83333333333,8.05555555556,0.5,0.75,1,65,163,261,8.05555555556,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
2874,3,3,3,495403620；495817671；500635396,9628223555；9630806627；9657930100,109274.9,41192,120405,3,0.954285714286,2.64406111536,2.83861096606,2.9745923297,7,1915,39270,39263,3,0.714285714286,2.80453272218,5.36083550914,7.50516971279,0.3591,0.5535,1,234,263,411,7.50516971279,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
3382,2,2,2,495403620；495817671,9628223555；9630806627,1547.26,294,1516,2,0.792222222222,3.17328502415,5.55434782609,7.0110982377,18,147,276,258,2,1.72222222222,3.55132850242,5.38043478261,3.12412342216,0.4779,0.5604,0.6429,90,237,384,7.0110982377,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
5702,2,2,2,495403620；495817671,9628223555；9630806627,947.62,109,147,2,1.433125,5.6880141129,9.94290322581,6.93791764557,16,54.5,93,77,2,1.15053763441,1.8252688172,2.5,2.17289719626,0.8182,0.85505,0.8919,77,86.5,96,6.93791764557,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
2890,2,2,2,495403620；525368335,9628223555；9811363528,10.22,10,101,2,0.9275,1.00625,1.085,1.16981132075,4,5,6,2,2,3.16666666667,11.8333333333,20.5,6.47368421053,0.3333,0.56665,0.8,48,1310.5,2573,6.47368421053,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
1265,3,3,3,495403620；495817671；525368335,9628223555；9630806627；9811363528,5.63,3,2,2,0.685,2.4725,4.26,6.21897810219,0,1,2,2,2,0.5,0.75,1,2,1,1,1,1,5.5,10,6.21897810219,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
2186,2,2,2,495403620；525368335,9628223555；9811363528,10.54,11,51,2,0.826666666667,0.917083333333,1.0075,1.21875,3,5.5,8,5,2,1,3.5,6,6,0.8571,0.92855,1,10,544,1078,6,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
3135,3,3,3,495403620；495817671；525368335,9628223555；9630806627；9811363528,242.98,170,332,2,1.35,1.39011904762,1.43023809524,1.0594356261,0,2,168,168,2,1.84523809524,6.42261904762,11,5.96129032258,0.5,0.67145,0.8429,186,593.5,1001,5.96129032258,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
3973,3,3,3,495403620；495817671；525368335,9628223555；9630806627；9811363528,11.89,15,42,2,0.685714285714,0.785982142857,0.88625,1.29244791667,0,7,8,8,2,0.875,2.9375,5,5.71428571429,0.8,0.9,1,50,63.5,77,5.71428571429,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
