差异排名,关键词,方案ID,推广单元ID,消费额,点击量,浏览量,CPC,浏览深度,跳出率,平均访问时长_秒,zero_effect,组内最大倍率,CPC最大最小比,浏览深度最大最小比
1,1270,495403620,9628223555,3.53,4,1,0.8825,0.25,1,3,False,40,1.15368271955,40
1,1270,525368335,9811363528,16.29,16,160,1.018125,10,0.6429,1163,False,40,1.15368271955,40
2,2354,495403620,9628223555,2.88,2,81,1.44,40.5,0,1618,False,27,1.3818663137,27
2,2354,495817671,9630806627,2.39,2,4,1.195,2,0,126,False,27,1.3818663137,27
2,2354,525368335,9811363528,60.44,58,87,1.04206896552,1.5,0.6364,197,False,27,1.3818663137,27
3,6149,495403620,9628223555,60.82,89,25,0.683370786517,0.280898876404,0.9091,171,False,22.4977319588,2.76630550857,22.4977319588
3,6149,63563817,1841014603,183.37,97,613,1.89041237113,6.31958762887,0.4804,397,False,22.4977319588,2.76630550857,22.4977319588
4,3923,495403620,9628223555,14.78,15,143,0.985333333333,9.53333333333,0.4286,930,False,16.0473612991,16.0473612991,2.02836879433
4,3923,525368335,9811363528,316.24,20,94,15.812,4.7,0.5263,244,False,16.0473612991,16.0473612991,2.02836879433
5,4177,495817671,9630806627,1.93,2,1,0.965,0.5,1,24,False,15.57489301,1.51785384314,15.57489301
5,4177,63563817,4190988309,2053.55,1402,10918,1.46472895863,7.78744650499,0.4145,483,False,15.57489301,1.51785384314,15.57489301
6,4706,495403620,9628223555,6.41,11,14,0.582727272727,1.27272727273,0.8889,94,False,14.1428571429,1.47925117005,14.1428571429
6,4706,525368335,9811363528,4.31,5,90,0.862,18,0.4,691,False,14.1428571429,1.47925117005,14.1428571429
7,6474,495403620,9628223555,120.04,56,136,2.14357142857,2.42857142857,0.5366,265,False,13.829897665,13.829897665,1.38374424914
7,6474,495817671,9630806627,23.07,18,34,1.28166666667,1.88888888889,0.625,273,False,13.829897665,13.829897665,1.38374424914
7,6474,525368335,9811363528,12230.47,690,1211,17.7253188406,1.75507246377,0.6592,172,False,13.829897665,13.829897665,1.38374424914
8,3989,495403620,8878077181,75197.1,124758,1230619,0.602743711826,9.86404879847,0.0814,631,False,11.3555478316,11.3555478316,1.52686750443
8,3989,495403620,9628223555,106.06,63,407,1.68349206349,6.46031746032,0.4483,394,False,11.3555478316,11.3555478316,1.52686750443
8,3989,495817671,9630806627,8240.76,1204,10226,6.84448504983,8.49335548173,0.1738,567,False,11.3555478316,11.3555478316,1.52686750443
8,3989,525368335,9811363528,0,0,0,,,,,True,11.3555478316,11.3555478316,1.52686750443
9,4594,495403620,9628223555,20.64,30,24,0.688,0.8,1,40,False,11.0548172757,11.0548172757,2.5
9,4594,525368335,9811363528,2076.36,273,546,7.60571428571,2,0.7826,227,False,11.0548172757,11.0548172757,2.5
10,1018,495403620,9628223555,102.67,67,256,1.5323880597,3.82089552239,0.5556,376,False,10.215920398,10.215920398,
10,1018,495817671,9630806627,0.15,1,0,0.15,0,0,0,False,10.215920398,10.215920398,
10,1018,525368335,9811363528,0,0,0,,,,,True,10.215920398,10.215920398,
