方案ID,推广单元ID,关键词投放记录数,不同关键词数,zero_effect记录数,zero_effect比例,总消费,总点击,中位数CPC,中位数浏览深度,中位数跳出率,中位数平均访问时长_秒,跳出率不可定义数,平均访问时长不可定义数
495403620,8878077181,4,4,0,0,124225.7,168752,0.879026692464,10.3315184586,0.08295,661.5,0,0
495403620,9628223555,364,364,116,0.318681318681,91605.25,72103,1.13764705882,1,0.8718,77,117,117
495817671,9630806627,442,442,161,0.364253393665,171870,107520,0.949375,1,0.8571,98,161,161
500635396,9657930100,45,45,6,0.133333333333,808153.3,358634,2.24462823276,2.09677419355,0.5927,193,6,6
500635396,9700005700,17,17,6,0.352941176471,26939.52,12173,1.49,1,0.7423,39,6,6
500635396,9773660250,6,6,1,0.166666666667,6433.94,4206,1.68696186962,2.45346453465,0.4082,211,1,1
525368335,9811363528,1055,1055,477,0.452132701422,181497.5,100380,0.98,1,0.7714,81,478,478
63563817,1841014603,76,76,41,0.539473684211,4767.6,4023,1.69161290323,2,0.6901,119,41,41
63563817,2526158329,26,26,12,0.461538461538,149.2,87,1.8575,1.71666666667,0.79165,27.5,12,12
63563817,2874903000,72,72,12,0.166666666667,2847.91,2019,1.36811111111,0.949874686717,0.9912,62,12,12
63563817,4190988309,47,47,28,0.595744680851,2478,1635,1.68,2.1,0.7143,136,28,28
63563817,4190988310,73,73,28,0.383561643836,4981.89,3283,1.55,1.64864864865,0.8214,94,28,28
