投放指标,lag,lag定义,样本对数,Pearson_r,Pearson_p值,Spearman_rho,Spearman_p值
总消费额,0,第t天总消费额对应第t+0天新注册数,365,0.817846010079,3.86957332469e-89,0.842430476409,1.60458503314e-99
总消费额,1,第t天总消费额对应第t+1天新注册数,364,0.609922718356,1.8407670564e-38,0.573074045685,3.69045881701e-33
总消费额,2,第t天总消费额对应第t+2天新注册数,363,0.398329614332,2.97353420579e-15,0.305687265963,2.73122687239e-09
总消费额,3,第t天总消费额对应第t+3天新注册数,362,0.313480710005,1.07311831285e-09,0.216979647708,3.13061674713e-05
总消费额,4,第t天总消费额对应第t+4天新注册数,361,0.295538844315,1.03967256096e-08,0.176588602429,0.000751493447783
总消费额,5,第t天总消费额对应第t+5天新注册数,360,0.30413801404,3.84639127648e-09,0.184434175581,0.000435724353132
总消费额,6,第t天总消费额对应第t+6天新注册数,359,0.427282797392,2.2998511497e-17,0.34658451937,1.43401371227e-11
总消费额,7,第t天总消费额对应第t+7天新注册数,358,0.480858256613,4.09495800191e-22,0.427261760957,2.55734532806e-17
总点击量,0,第t天总点击量对应第t+0天新注册数,365,0.754981163045,1.65201653506e-68,0.816096795459,1.84516746421e-88
总点击量,1,第t天总点击量对应第t+1天新注册数,364,0.538816679059,8.50984840934e-29,0.540958439952,4.69520805012e-29
总点击量,2,第t天总点击量对应第t+2天新注册数,363,0.325358991569,2.13685488773e-10,0.288295296684,2.23165643999e-08
总点击量,3,第t天总点击量对应第t+3天新注册数,362,0.236500404965,5.39381634108e-06,0.178990561511,0.000622950401801
总点击量,4,第t天总点击量对应第t+4天新注册数,361,0.214517146238,3.96291978095e-05,0.127600802362,0.015269156609
总点击量,5,第t天总点击量对应第t+5天新注册数,360,0.23319440834,7.78711080551e-06,0.145395495119,0.00571338588316
总点击量,6,第t天总点击量对应第t+6天新注册数,359,0.361852413109,1.51256871941e-12,0.316931083726,8.09144018782e-10
总点击量,7,第t天总点击量对应第t+7天新注册数,358,0.418467539942,1.3083630765e-16,0.404350315071,1.62992007694e-15
