月份,方案ID,投放天数,总消费,总点击,总展现,CTR,CPC
5,63563817,2,214.830000,77,4486,0.017165,2.790000
7,63563817,28,2745.360000,1467,69738,0.021036,1.871411
8,63563817,31,3061.900000,2104,90421,0.023269,1.455276
9,63563817,30,1807.490000,1624,90833,0.017879,1.112986
10,63563817,26,1477.230000,1281,67193,0.019064,1.153185
11,63563817,30,2834.350000,2159,113627,0.019001,1.312807
12,63563817,31,3083.440000,2335,122800,0.019015,1.320531
1,495403620,31,13419.080000,5196,118250,0.043941,2.582579
2,495403620,28,17729.250000,6165,157615,0.039114,2.875791
3,495403620,30,8950.070000,6481,206212,0.031429,1.380971
4,495403620,23,8923.170000,7144,242848,0.029418,1.249044
5,495403620,31,35943.850000,31700,439180,0.072180,1.133875
6,495403620,22,6920.800000,5803,148223,0.039150,1.192625
7,495403620,31,12971.670000,18784,225074,0.083457,0.690570
8,495403620,31,31083.500000,46212,1385260,0.033360,0.672628
9,495403620,30,18840.590000,28982,222506,0.130253,0.650079
10,495403620,31,17906.330000,23682,102340,0.231405,0.756116
11,495403620,30,20855.270000,27181,223385,0.121678,0.767274
12,495403620,31,22287.320000,33525,239044,0.140246,0.664797
1,495817671,10,153.510000,65,401,0.162095,2.361692
2,495817671,8,30980.850000,15329,93971,0.163125,2.021061
3,495817671,30,64393.020000,28466,719517,0.039563,2.262103
4,495817671,23,17678.970000,15243,568056,0.026834,1.159809
5,495817671,31,24437.190000,14304,953073,0.015008,1.708417
6,495817671,23,7839.750000,5209,573156,0.009088,1.505039
7,495817671,31,6646.480000,4334,386677,0.011208,1.533567
8,495817671,31,16597.480000,20648,742022,0.027827,0.803830
9,495817671,30,1726.730000,2353,136704,0.017212,0.733842
10,495817671,31,457.970000,579,78659,0.007361,0.790967
11,495817671,30,557.510000,590,94656,0.006233,0.944932
12,495817671,31,400.580000,400,71044,0.005630,1.001450
1,500635396,31,69149.610000,26848,206971,0.129719,2.575596
2,500635396,28,68463.340000,27934,184233,0.151623,2.450896
3,500635396,21,20853.690000,9626,118396,0.081303,2.166392
4,500635396,30,54087.490000,50228,836490,0.060046,1.076839
5,500635396,31,50808.650000,28629,910469,0.031444,1.774727
6,500635396,30,58242.030000,24655,774738,0.031824,2.362281
7,500635396,31,46172.080000,30474,1021485,0.029833,1.515130
8,500635396,31,111595.090000,46628,1469320,0.031734,2.393306
9,500635396,30,92469.550000,33909,932006,0.036383,2.726991
10,500635396,31,66534.520000,28899,886559,0.032597,2.302312
11,500635396,30,99215.270000,32651,749132,0.043585,3.038659
12,500635396,31,103935.440000,34532,1023071,0.033753,3.009830
1,525368335,20,21804.860000,7998,102249,0.078221,2.726289
2,525368335,7,31174.360000,15067,202170,0.074526,2.069049
3,525368335,22,108777.250000,53732,660323,0.081372,2.024441
5,525368335,25,9471.950000,6913,471129,0.014673,1.370165
6,525368335,11,2398.830000,1749,184398,0.009485,1.371544
7,525368335,21,1375.210000,3209,353411,0.009080,0.428548
8,525368335,31,2770.380000,6234,610055,0.010219,0.444398
9,525368335,30,1000.460000,1479,531067,0.002785,0.676444
10,525368335,31,1430.840000,2100,560150,0.003749,0.681352
11,525368335,30,942.260000,1384,735792,0.001881,0.680824
12,525368335,31,351.090000,515,369796,0.001393,0.681728
