聚合层级,方案ID,推广单元ID,展现量,点击量,消费额,上方位展现量,上方首位展现量,上方位点击量,上方位消费额,非上方位展现量,非上方位点击量,非上方位消费额,Sheet1记录数,有投放记录天数,上方位CTR,非上方位CTR,上方位CPC,非上方位CPC,上方位展现率,首位展现率,总CTR,总CPC
推广单元ID,495403620,8878077181,255414,168752,124225.65,226265,209161,165572,120059.3,29149,3180,4166.35,225,225,0.731761430181,0.109094651618,0.725118377503,1.31017295597,0.885875480592,0.818909691716,0.660699883327,0.736143275339
推广单元ID,495403620,9628223555,3454523,72103,91605.25,640168,299538,46083,60283.98,2814355,26020,31321.27,321,321,0.0719857912298,0.00924545766259,1.30816092702,1.20373827825,0.185312994008,0.0867089320291,0.020872056721,1.27047765003
推广单元ID,495817671,9630806627,4417936,107520,171870.04,784959,372125,53916,93638.19,3632977,53604,78231.85,309,309,0.0686863899898,0.0147548415528,1.73674215446,1.45944052683,0.177675502769,0.0842305094506,0.0243371565364,1.5984936756
推广单元ID,500635396,9657930100,8769221,358634,808153.3,3857566,1025327,264775,654872.75,4911655,93859,153280.55,321,321,0.068637840545,0.0191094447798,2.47331791143,1.63309378962,0.439898367255,0.116923384643,0.0408969052097,2.25342075765
推广单元ID,500635396,9700005700,163203,12173,26939.52,53950,50382,1161,5896.06,109253,11012,21043.46,148,148,0.0215199258573,0.100793570886,5.07843238587,1.91095713767,0.33056990374,0.308707560523,0.0745880896797,2.21305512199
推广单元ID,500635396,9773660250,180446,4206,6433.94,51578,15466,3349,5241.24,128868,857,1192.7,161,161,0.064930784443,0.00665021572462,1.56501642281,1.39171528588,0.285836205846,0.085709852255,0.0233089123616,1.52970518307
推广单元ID,525368335,9811363528,4780540,100380,181497.49,426248,342886,17374,52695.3,4354292,83006,128802.19,259,259,0.0407603085528,0.019063030224,3.03299758259,1.55172144182,0.089163148933,0.0717253699373,0.020997627883,1.8081041044
推广单元ID,63563817,1841014603,113857,4023,4767.6,21722,16402,3384,3822.55,92135,639,945.05,178,178,0.155786759967,0.00693547511803,1.12959515366,1.4789514867,0.190783175387,0.144057897187,0.0353337959019,1.1850857569
推广单元ID,63563817,2526158329,9929,87,149.2,389,114,28,57.98,9540,59,91.22,177,177,0.0719794344473,0.00618448637317,2.07071428571,1.54610169492,0.0391781649713,0.0114815187834,0.00876221170309,1.71494252874
推广单元ID,63563817,2874903000,87675,2019,2847.91,18379,6249,1591,2449.76,69296,428,398.15,178,178,0.086566189673,0.00617640267837,1.53976115651,0.930257009346,0.209626461363,0.0712745936698,0.0230282292558,1.41055473006
推广单元ID,63563817,4190988309,222330,1635,2478,21473,4101,1216,1976.9,200857,419,501.1,178,178,0.0566292553439,0.00208606122764,1.62574013158,1.19594272076,0.0965816578959,0.0184455539064,0.00735393334233,1.51559633028
推广单元ID,63563817,4190988310,125307,3283,4981.89,18042,4168,1397,2139.07,107265,1886,2842.82,172,172,0.0774304400842,0.017582622477,1.53118826056,1.50732767762,0.143982379276,0.0332623077721,0.0261996536506,1.51748096253
