指标,事后方法,组1,组2,统计量名称,统计量,原始p值,校正方法,校正p值,校正后显著,效应量名称,效应量
总消费额,Dunn检验,周一,周二,z,-4.88567929258,1.03072859504e-06,Holm,1.75223861156e-05,True,rank_biserial_r,-0.569526627219
总消费额,Dunn检验,周一,周三,z,-5.51588250765,3.47034056806e-08,Holm,6.59364707932e-07,True,rank_biserial_r,-0.595791001451
总消费额,Dunn检验,周一,周四,z,-5.75277816646,8.77886503131e-09,Holm,1.84356165658e-07,True,rank_biserial_r,-0.635355029586
总消费额,Dunn检验,周一,周五,z,-5.61709066851,1.94199530747e-08,Holm,3.88399061493e-07,True,rank_biserial_r,-0.622781065089
总消费额,Dunn检验,周一,周六,z,-5.13567886072,2.81127361932e-07,Holm,5.06029251478e-06,True,rank_biserial_r,-0.611686390533
总消费额,Dunn检验,周一,周日,z,-1.04460786092,0.296204244953,Holm,1,False,rank_biserial_r,-0.131656804734
总消费额,Dunn检验,周二,周三,z,-0.606993206548,0.543855420555,Holm,1,False,rank_biserial_r,-0.0718432510885
总消费额,Dunn检验,周二,周四,z,-0.867098873879,0.385887837576,Holm,1,False,rank_biserial_r,-0.110207100592
总消费额,Dunn检验,周二,周五,z,-0.73141137593,0.464527918823,Holm,1,False,rank_biserial_r,-0.0917159763314
总消费额,Dunn检验,周二,周六,z,-0.249999568139,0.802587682608,Holm,1,False,rank_biserial_r,-0.0377218934911
总消费额,Dunn检验,周二,周日,z,3.84107143166,0.000122498458193,Holm,0.00146998149832,True,rank_biserial_r,0.453402366864
总消费额,Dunn检验,周三,周四,z,-0.264224925072,0.791606605911,Holm,1,False,rank_biserial_r,-0.021770682148
总消费额,Dunn检验,周三,周五,z,-0.127892827305,0.898233787413,Holm,1,False,rank_biserial_r,-0.00290275761974
总消费额,Dunn检验,周三,周六,z,0.35580598532,0.721985866406,Holm,1,False,rank_biserial_r,0.0638606676343
总消费额,Dunn检验,周三,周日,z,4.46631211114,7.95794883658e-06,Holm,0.000111411283712,True,rank_biserial_r,0.484034833091
总消费额,Dunn检验,周四,周五,z,0.135687497949,0.8920683315,Holm,1,False,rank_biserial_r,0.0162721893491
总消费额,Dunn检验,周四,周六,z,0.61709930574,0.53716922659,Holm,1,False,rank_biserial_r,0.0924556213018
