方案ID,推广单元ID,总关键词投放实例数,黄金词数量,重点词数量,潜力词数量,问题词数量,无效词数量,黄金词比例,重点词比例,潜力词比例,问题词比例,无效词比例,黄金词+重点词 数量,黄金词+重点词 比例,问题词+无效词 数量,问题词+无效词 比例,总消费额,总点击量,总浏览量,单元总体CPC,单元总体浏览深度
495403620,8878077181,4,0,4,0,0,0,0,1,0,0,0,4,1,0,0,124225.7,168752,1694374,0.736143571632,10.0406158149
495403620,9628223555,364,27,99,94,28,116,0.0741758241758,0.271978021978,0.258241758242,0.0769230769231,0.318681318681,126,0.346153846154,144,0.395604395604,91605.25,72103,210914,1.27047765003,2.92517648364
495817671,9630806627,442,47,109,108,17,161,0.106334841629,0.246606334842,0.244343891403,0.0384615384615,0.364253393665,156,0.352941176471,178,0.402714932127,171870,107520,166126,1.59849330357,1.54507068452
500635396,9657930100,45,1,33,2,3,6,0.0222222222222,0.733333333333,0.0444444444444,0.0666666666667,0.133333333333,34,0.755555555556,9,0.2,808153.3,358634,812358,2.25342075765,2.26514496673
500635396,9700005700,17,0,5,3,3,6,0,0.294117647059,0.176470588235,0.176470588235,0.352941176471,5,0.294117647059,9,0.529411764706,26939.52,12173,32554,2.21305512199,2.67427914236
500635396,9773660250,6,0,5,0,0,1,0,0.833333333333,0,0,0.166666666667,5,0.833333333333,1,0.166666666667,6433.94,4206,9950,1.52970518307,2.3656680932
525368335,9811363528,1055,116,160,234,68,477,0.109952606635,0.151658767773,0.221800947867,0.0644549763033,0.452132701422,276,0.261611374408,545,0.516587677725,181497.5,100380,138303,1.80810420402,1.37779438135
63563817,1841014603,76,3,23,0,9,41,0.0394736842105,0.302631578947,0,0.118421052632,0.539473684211,26,0.342105263158,50,0.657894736842,4767.6,4023,12090,1.1850857569,3.00521998509
63563817,2526158329,26,1,5,0,8,12,0.0384615384615,0.192307692308,0,0.307692307692,0.461538461538,6,0.230769230769,20,0.769230769231,149.2,87,216,1.71494252874,2.48275862069
63563817,2874903000,72,1,19,13,27,12,0.0138888888889,0.263888888889,0.180555555556,0.375,0.166666666667,20,0.277777777778,39,0.541666666667,2847.91,2019,2179,1.41055473006,1.07924715206
63563817,4190988309,47,1,11,3,4,28,0.0212765957447,0.234042553191,0.063829787234,0.0851063829787,0.595744680851,12,0.255319148936,32,0.68085106383,2478,1635,12179,1.51559633028,7.44892966361
63563817,4190988310,73,1,29,4,11,28,0.013698630137,0.397260273973,0.0547945205479,0.150684931507,0.383561643836,30,0.41095890411,39,0.534246575342,4981.89,3283,7520,1.51748096253,2.29058787694
