序号,关键词,方案ID,推广单元ID,消费额,点击量,浏览量,CPC,浏览深度,跳出率,非跳出率,平均访问时长_秒,消费额_标准化,CPC_标准化,点击量_标准化,浏览深度_标准化,非跳出率_标准化,平均访问时长_标准化,CostScore,BenefitScore,成本高低,效益高低,最终类别,zero_effect,anomaly_flag,anomaly_reasons,常规评分可用,成本阈值距离,效益阈值距离,成本边界敏感,效益边界敏感,boundary_sensitive,等权CostScore,等权BenefitScore,等权最终类别,中位数最终类别,分类处理说明
1,9,63563817,1841014603,3424.41,3271,9750,1.04690003057,2.98073983491,0.6109,0.3891,196,0.965568862275,0.468562874251,0.973053892216,0.846556886228,0.740269461078,0.767215568862,0.717065984926,0.836909300776,高,高,重点词,False,False,,True,0.220607283973,0.34564175977,False,False,False,0.717065868263,0.831773952096,重点词,重点词,常规CRITIC+一维KMeans
2,283,63563817,1841014603,0,0,0,,,,,,,,,,,,,,,,无效词,True,False,,False,,,False,False,False,,,无效词,无效词,结构性无成本无效益，先行归为无效词
3,726,63563817,1841014603,252.86,135,255,1.87303703704,1.88888888889,0.9059,0.0941,39,0.892964071856,0.847305389222,0.894461077844,0.715943113772,0.402694610778,0.273952095808,0.870134741256,0.585780122969,高,高,重点词,False,False,,True,0.373676040303,0.0945125819628,False,False,False,0.870134730539,0.571762724551,重点词,重点词,常规CRITIC+一维KMeans
4,770,63563817,1841014603,0,0,0,,,,,,,,,,,,,,,,无效词,True,False,,False,,,False,False,False,,,无效词,无效词,结构性无成本无效益，先行归为无效词
5,800,63563817,1841014603,0,0,0,,,,,,,,,,,,,,,,无效词,True,False,,False,,,False,False,False,,,无效词,无效词,结构性无成本无效益，先行归为无效词
6,867,63563817,1841014603,0,0,0,,,,,,,,,,,,,,,,无效词,True,False,,False,,,False,False,False,,,无效词,无效词,结构性无成本无效益，先行归为无效词
7,1186,63563817,1841014603,1.79,1,1,1.79,1,1,0,13,0.195359281437,0.830464071856,0.0815868263473,0.40119760479,0.171407185629,0.183008982036,0.512911527568,0.197927040517,高,低,问题词,False,False,,True,0.0164528266142,0.29334050049,True,False,True,0.512911676647,0.209300149701,问题词,问题词,常规CRITIC+一维KMeans
8,1277,63563817,1841014603,0,0,0,,,,,,,,,,,,,,,,无效词,True,False,,False,,,False,False,False,,,无效词,无效词,结构性无成本无效益，先行归为无效词
9,1517,63563817,1841014603,0,0,0,,,,,,,,,,,,,,,,无效词,True,False,,False,,,False,False,False,,,无效词,无效词,结构性无成本无效益，先行归为无效词
10,1567,63563817,1841014603,37.32,23,77,1.62260869565,3.34782608696,0.6957,0.3043,187,0.751497005988,0.788922155689,0.709580838323,0.868263473054,0.657185628743,0.750748502994,0.770209572053,0.738768875742,高,高,重点词,False,False,,True,0.2737508711,0.247501334735,False,False,False,0.770209580838,0.746444610778,重点词,重点词,常规CRITIC+一维KMeans
11,1583,63563817,1841014603,0,0,0,,,,,,,,,,,,,,,,无效词,True,False,,False,,,False,False,False,,,无效词,无效词,结构性无成本无效益，先行归为无效词
12,1667,63563817,1841014603,88.09,41,86,2.14853658537,2.09756097561,0.8333,0.1667,49,0.820359281437,0.886976047904,0.791916167665,0.762724550898,0.487275449102,0.324850299401,0.853667649034,0.600443295086,高,高,重点词,False,False,,True,0.35720894808,0.10917575408,False,False,False,0.853667664671,0.591691616766,重点词,重点词,常规CRITIC+一维KMeans
13,2023,63563817,1841014603,0,0,0,,,,,,,,,,,,,,,,无效词,True,False,,False,,,False,False,False,,,无效词,无效词,结构性无成本无效益，先行归为无效词
14,2083,63563817,1841014603,0,0,0,,,,,,,,,,,,,,,,无效词,True,False,,False,,,False,False,False,,,无效词,无效词,结构性无成本无效益，先行归为无效词
15,2123,63563817,1841014603,6.32,3,2,2.10666666667,0.666666666667,1,0,8,0.453592814371,0.883233532934,0.294161676647,0.161676646707,0.171407185629,0.157934131737,0.668413072803,0.202007564084,高,低,问题词,False,False,,True,0.171954371849,0.289259976923,False,False,False,0.668413173653,0.19629491018,问题词,问题词,常规CRITIC+一维KMeans
16,2294,63563817,1841014603,0,0,0,,,,,,,,,,,,,,,,无效词,True,False,,False,,,False,False,False,,,无效词,无效词,结构性无成本无效益，先行归为无效词
17,2373,63563817,1841014603,0,0,0,,,,,,,,,,,,,,,,无效词,True,False,,False,,,False,False,False,,,无效词,无效词,结构性无成本无效益，先行归为无效词
18,2384,63563817,1841014603,0,0,0,,,,,,,,,,,,,,,,无效词,True,False,,False,,,False,False,False,,,无效词,无效词,结构性无成本无效益，先行归为无效词
19,2478,63563817,1841014603,49,25,166,1.96,6.64,0.4737,0.5263,646,0.77994011976,0.86751497006,0.720808383234,0.964820359281,0.847305389222,0.967065868263,0.823727524354,0.862239810344,高,高,重点词,False,False,,True,0.3272688234,0.370972269337,False,False,False,0.82372754491,0.875,重点词,重点词,常规CRITIC+一维KMeans
20,2505,63563817,1841014603,6.15,2,7,3.075,3.5,0,1,142,0.446856287425,0.932634730539,0.211826347305,0.876497005988,0.953967065868,0.681137724551,0.689745394955,0.662160193898,高,高,重点词,False,False,,True,0.193286694001,0.170892652891,False,False,False,0.689745508982,0.680857035928,重点词,重点词,常规CRITIC+一维KMeans
21,2570,63563817,1841014603,10.34,7,27,1.47714285714,3.85714285714,0.5,0.5,54,0.542664670659,0.729041916168,0.47380239521,0.891467065868,0.817739520958,0.345434131737,0.635853249665,0.631131581064,高,高,重点词,False,False,,True,0.139394548711,0.139864040058,False,False,False,0.635853293413,0.632110778443,重点词,重点词,常规CRITIC+一维KMeans
